Interview number (ongoing),Serial number (if provided),Reference (if provided in link),Questionnaire that has been used in the interview,Interview mode,Language,Time the interview has started (Europe/Berlin),"Random Generator: Complete clearances of the ballot, yet",Random Generator: Code drawn,starost: [01],pol,mesto_opstina,mesto_osn: [01],etnicitet,etnicitet: Drugo,country,država: Drugo,obrazovanje,obrazovanje_oca,obrazovanje_majke
158,0,0,base,interview,srp,45112.53,0,2,19,2,Novi Sad,Novi Sad,4,0,4,0,3,3,3
159,0,0,base,interview,srp,45112.53,0,2,19,2,Prokuplje,Prokuplje,4,0,4,0,3,3,4
164,0,0,base,interview,srp,45112.53,0,1,19,2,Novi Sad,Badovinci,4,0,4,0,3,2,3
165,0,0,base,interview,srp,45112.53,0,1,23,2,Novi Sad,Novi Sad,4,0,4,0,3,3,3
166,0,0,base,interview,srp,45112.53,0,1,24,2,Bačka Palanka,Bačka Palanka,4,0,4,0,3,2,3
167,0,0,base,interview,srp,45112.53,0,2,19,2,Novi Sad,Novi Sad,4,0,4,0,3,4,3
172,0,0,base,interview,srp,45112.53,0,1,21,1,Novi Sad,Novi Sad,4,0,4,0,3,3,5
173,0,0,base,interview,srp,45112.53,0,2,19,2,Novi Sad,Loznica,4,0,4,0,3,3,4
176,0,0,base,interview,srp,45112.54,0,1,19,2,Kruševac,Kruševac,4,0,4,0,3,3,4
178,0,0,base,interview,srp,45112.54,0,2,23,1,Vladimirovac,Vladimirovac,6,Rumun,4,0,3,3,3
179,0,0,base,interview,srp,45112.54,0,1,22,2,Novi Sad,Temerin,4,0,4,0,4,3,3
181,0,0,base,interview,srp,45112.54,0,1,20,2,Mladenovo,Mladenovo,4,0,4,0,3,3,3
182,0,0,base,interview,srp,45112.54,0,2,21,2,Novi Sad,Gospođinci,4,0,4,0,3,4,4
184,0,0,base,interview,srp,45112.54,0,2,20,1,Senta,Senta,4,0,4,0,3,4,4
188,0,0,base,interview,srp,45112.54,0,1,19,2,Šabac,Šabac,4,0,4,0,3,3,4
190,0,0,base,interview,srp,45112.54,0,2,20,1,Novi Sad,Novi Sad,4,0,4,0,3,3,3
192,0,0,base,interview,srp,45112.55,0,1,21,1,Inđija,Inđija,4,0,4,0,3,3,3
197,0,0,base,interview,srp,45112.55,0,1,20,2,Novi Sad,Novi Sad,4,0,4,0,3,3,3
198,0,0,base,interview,srp,45112.55,0,1,20,2,Novi Sad,Novi Sad,4,0,4,0,3,3,3
199,0,0,base,interview,srp,45112.55,0,1,22,2,Novi Sad,Vršac,4,0,4,0,3,3,3
200,0,0,base,interview,srp,45112.55,0,1,21,2,Vrbas,Vrbas,4,0,4,0,3,2,3
204,0,0,base,interview,srp,45112.55,0,2,23,1,Bajina Bašta,Bajina Bašta,4,0,4,0,3,3,3
205,0,0,base,interview,srp,45112.55,0,1,19,2,Čonoplja,Čonoplja,4,0,4,0,3,3,2
206,0,0,base,interview,srp,45112.55,0,1,22,2,Bečej,Bečej,6,Mađarica,4,0,3,4,3
210,0,0,base,interview,srp,45112.56,0,1,22,2,Novi Sad,Novi Sad,4,0,4,0,3,3,4
216,0,0,base,interview,srp,45112.56,0,1,20,2,Novi Bečej,Novi Bečej,4,0,4,0,3,3,3
218,0,0,base,interview,srp,45112.57,0,2,20,2,Novi Sad,Novi Sad,4,0,4,0,3,3,3
220,0,0,base,interview,srp,45112.57,0,2,20,2,Bečej,Bečej,4,0,4,0,3,3,3
221,0,0,base,interview,srp,45112.57,0,2,19,2,Sremska Kamenica,Sremska Kamenica,4,0,4,0,3,3,3
226,0,0,base,interview,srp,45112.57,0,2,21,1,Novi Sad,Subotica,4,0,4,0,3,4,3
229,0,0,base,interview,srp,45112.57,0,1,22,2,Novi Sad,Novi Sad,4,0,4,0,3,4,4
230,0,0,base,interview,srp,45112.57,0,1,24,2,Indjija,Novi Sad,4,0,4,0,4,3,3
233,0,0,base,interview,srp,45112.58,0,1,20,2,Ruski Krstur,Ruski Krstur,6,Rusinka,4,0,3,3,3
234,0,0,base,interview,srp,45112.58,0,2,24,2,Novi Sad,Novi Sad,4,0,4,0,4,3,4
236,0,0,base,interview,srp,45112.58,0,1,20,2,Novi Sad,Šid,6,Slovakinja,4,0,3,3,3
238,0,0,base,interview,srp,45112.58,0,2,20,1,Novi Sad,Novi Sad,5,0,4,0,3,4,4
240,0,0,base,interview,srp,45112.58,0,2,21,1,Šabac,Šabac,4,0,4,0,3,4,3
243,0,0,base,interview,srp,45112.58,0,1,21,2,Sremska Kamenica,Sremska Kamenica,4,0,4,0,3,3,3
244,0,0,base,interview,srp,45112.58,0,2,20,2,Vrbas,Vrbas,4,0,4,0,3,3,4
247,0,0,base,interview,srp,45112.58,0,2,22,2,Bela Crkva,Bela Crkva,4,0,4,0,4,3,3
249,0,0,base,interview,srp,45112.59,0,2,22,2,Zrenjanin,Zrenjanin,4,0,4,0,3,5,4
251,0,0,base,interview,srp,45112.59,0,1,19,2,Stejanovci,Sremska Mitrovica,4,0,4,0,3,3,3
253,0,0,base,interview,srp,45112.6,0,2,23,1,Bački Petrovac,Bački Petrovac,6,Slovak,4,0,3,4,5
258,0,0,base,interview,srp,45112.62,0,1,23,2,Međa,Međa,4,0,4,0,3,3,2
259,0,0,base,interview,srp,45112.62,0,1,24,1,Odžaci,Odžaci,4,0,4,0,3,3,3
264,0,0,base,interview,srp,45112.64,0,2,23,1,Zrenjanin,Zrenjanin,4,0,4,0,3,4,4
265,0,0,base,interview,srp,45112.64,0,2,27,2,Novi Sad,Kula,4,0,4,0,4,4,3
268,0,0,base,interview,bos,45112.65,0,2,19,2,Bijeljina,Bijeljina,4,0,1,0,3,3,3
269,0,0,base,interview,srp,45112.65,0,2,21,1,Kula,Kula,4,0,4,0,3,3,3
272,0,0,base,interview,srp,45112.66,0,2,22,2,Bački Jarak,Bački Jarak,4,0,4,0,4,4,4
274,0,0,base,interview,srp,45112.68,0,2,20,2,Titel,Titel,4,0,4,0,3,4,3
276,0,0,base,interview,srp,45112.69,0,2,21,2,Šabac,Šabac,4,0,4,0,3,3,3
279,0,0,base,interview,srp,45112.69,0,1,Novi Sad,2,Novi Sad,Novi Sad,4,0,4,0,3,4,4
281,0,0,base,interview,srp,45112.7,0,1,20,1,Vranje,Vranje,4,0,4,0,3,3,3
284,0,0,base,interview,srp,45112.7,0,2,20,2,Novi Sad,Novi Sad,4,0,4,0,3,5,4
