Interview number (ongoing),Serial number (if provided),Questionnaire that has been used in the interview,Language,Random Generator: Code drawn,starost: [01],pol,mesto: [01],mesto_opstina,mesto_latitude,mesto_longitude,region,mesto_osn: [01],etnicitet,etnicitet: Drugo,country,država,država: Drugo,obrazovanje,obrazovanje_oca,obrazovanje_majke,educationgross,judgment,item condition,INFvDPC,benchmark gram,Modality,wurm,phasal
160,CASE000159,list2,srp,2,19,2,Prokuplje,Prokuplje,43.2343484,21.5884422,5,Prokuplje,4,,Serbia,4,,3,3,4,10,,phapreda+,2,,,,
169,CASE000167,list2,srp,2,19,2,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Novi Sad,4,,Serbia,4,,3,4,3,10,,phapreda+,2,,,,
170,CASE000165,list1,srp,1,23,2,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Novi Sad,4,,Serbia,4,,3,3,3,9,5,phapreda+,2,,,,
171,CASE000166,list1,srp,1,24,2,Bačka Palanka,Bačka Palanka,45.2497012,19.3966495,4,Bačka Palanka,4,,Serbia,4,,3,2,3,8,5,phapreda+,2,,,,
174,CASE000172,list1,srp,1,21,1,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Novi Sad,4,,Serbia,4,,3,3,5,11,5,phapreda+,2,,,,
175,CASE000173,list2,srp,2,19,2,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Loznica,4,,Serbia,4,,3,3,4,10,,phapreda+,2,,,,
177,CASE000176,list1,srp,1,19,2,Kruševac,Kruševac,43.58264,21.3264811,6,Kruševac,4,,Serbia,4,,3,3,4,10,5,phapreda+,2,,,,
180,CASE000178,list2,srp,2,23,1,Vladimirovac,Alibunar,45.0318784,20.8654002,4,Vladimirovac,6,Rumun,Serbia,4,,3,3,3,9,,phapreda+,2,,,,
185,CASE000181,list1,srp,1,20,2,Mladenovo,Bačka Palanka,45.2497012,19.3966495,4,Mladenovo,4,,Serbia,4,,3,3,3,9,5,phapreda+,2,,,,
186,CASE000179,list1,srp,1,22,2,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Temerin,4,,Serbia,4,,4,3,3,10,5,phapreda+,2,,,,
187,CASE000184,list2,srp,2,20,1,Senta,Senta,45.9312407,20.0901597,4,Senta,4,,Serbia,4,,3,4,4,11,,phapreda+,2,,,,
189,CASE000188,list1,srp,1,19,2,Šabac,Šabac,44.7571535,19.6953972,6,Šabac,4,,Serbia,4,,3,3,4,10,5,phapreda+,2,,,,
191,CASE000190,list2,srp,2,20,1,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Novi Sad,4,,Serbia,4,,3,3,3,9,,phapreda+,2,,,,
201,CASE000197,list1,srp,1,20,2,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Novi Sad,4,,Serbia,4,,3,3,3,9,4,phapreda+,2,,,,
202,CASE000199,list1,srp,1,22,2,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Vršac,4,,Serbia,4,,3,3,3,9,5,phapreda+,2,,,,
203,CASE000200,list1,srp,1,21,2,Vrbas,Vrbas,45.568028,19.6470089,4,Vrbas,4,,Serbia,4,,3,2,3,8,5,phapreda+,2,,,,
208,CASE000204,list2,srp,2,23,1,Bajina Bašta,Bajina Bašta,43.9712226,19.5660149,6,Bajina Bašta,4,,Serbia,4,,3,3,3,9,,phapreda+,2,,,,
211,CASE000210,list1,srp,1,22,2,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Novi Sad,4,,Serbia,4,,3,3,4,10,5,phapreda+,2,,,,
217,CASE000216,list1,srp,1,20,2,Novi Bečej,Novi Bečej,45.5952571,20.1343581,4,Novi Bečej,4,,Serbia,4,,3,3,3,9,5,phapreda+,2,,,,
223,CASE000220,list2,srp,2,20,2,Novi Bečej,Novi Bečej,45.5952571,20.1343581,4,Novi Bečej,4,,Serbia,4,,3,3,3,9,,phapreda+,2,,,,
224,CASE000221,list2,srp,2,19,2,Sremska Kamenica,Sremska Kamenica,45.2551338,19.8451756,6,Sremska Kamenica,4,,Serbia,4,,3,3,3,9,,phapreda+,2,,,,
228,CASE000226,list2,srp,2,21,1,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Subotica,4,,Serbia,4,,3,4,3,10,,phapreda+,2,,,,
231,CASE000230,list1,srp,1,24,2,Inđija,Inđija,45.0478559,20.0807338,4,Novi Sad,4,,Serbia,4,,4,3,3,10,5,phapreda+,2,,,,
232,CASE000229,list1,srp,1,22,2,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Novi Sad,4,,Serbia,4,,3,4,4,11,5,phapreda+,2,,,,
235,CASE000233,list1,srp,1,20,2,Ruski Krstur,Kula,43.8874059,22.5203916,4,Ruski Krstur,6,Rusinka,Serbia,4,,3,3,3,9,4,phapreda+,2,,,,
237,CASE000236,list1,srp,1,20,2,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Šid,6,Slovakinja,Serbia,4,,3,3,3,9,3,phapreda+,2,,,,
239,CASE000234,list2,srp,2,24,2,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Novi Sad,4,,Serbia,4,,4,3,4,11,,phapreda+,2,,,,
241,CASE000238,list2,srp,2,20,1,Novi Sad,Novi Sad,45.2551338,19.8451756,4,Novi Sad,5,,Serbia,4,,3,4,4,11,,phapreda+,2,,,,
242,CASE000240,list2,srp,2,21,1,Šabac,Šabac,44.7571535,19.6953972,6,Šabac,4,,Serbia,4,,3,4,3,10,,phapreda+,2,,,,
245,CASE000243,list1,srp,1,21,2,Sremska Kamenica,Sremska Kamenica,45.2551338,19.8451756,6,Sremska Kamenica,4,,Serbia,4,,3,3,3,9,5,phapreda+,2,,,,
